Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
John-Lee AUGUSTYN,John-Lee,AUGUSTYN,RSA,RSA0001,"Vuelta a España, 2010",BARLOWORLD,SKY PROFESSIONAL CYCLING TEAM,,,,,,,,,
Thomas * DANIELSON,Thomas *,DANIELSON,USA,USA0003,"Vuelta a España, 2010",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - SHARP,GARMIN SHARP,,TEAM CANNONDALE - GARMIN,,,,
Dmitriy KOZONTCHUK,Dmitriy,KOZONTCHUK,RUS,RUS0006,"Vuelta a España, 2014",RABOBANK,RABOBANK,GEOX-TMC,,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,GAZPROM - RUSVELO,,
Angel GOMEZ GOMEZ,Angel,GOMEZ GOMEZ,ESP,ESP0008,"Giro d'Italia, 2009",FUJI-SERVETTO,,,,,,,,,,
Renaud DION,Renaud,DION,FRA,FRA0005,"Giro d'Italia, 2009",AG2R LA MONDIALE,,,,,,,,,,
Edvald Boasson HAGEN,Edvald Boasson,HAGEN,NOR,NOR0001,"Tour de France, 2019",TEAM COLUMBIA - HIGH ROAD,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,MTN - QHUBEKA,TEAM DIMENSION DATA,TEAM DIMENSION DATA,TEAM DIMENSION DATA,TEAM DIMENSION DATA
Morris POSSONI,Morris,POSSONI,ITA,ITA0021,"Vuelta a España, 2012",TEAM COLUMBIA - HIGH ROAD,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,LAMPRE - ISD,,,,,,,
Francesco DE BONIS,Francesco,DE BONIS,ITA,ITA0022,"Giro d'Italia, 2009",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,,,,,,,,,,
Jurgen VAN GOOLEN,Jurgen,VAN GOOLEN,BEL,BEL0005,"Vuelta a España, 2010",TEAM SAXO BANK,OMEGA PHARMA-LOTTO,,,,,,,,,
Andrea MASCIARELLI,Andrea,MASCIARELLI,ITA,ITA0023,"Giro d'Italia, 2010",ACQUA & SAPONE - CAFFE MOKAMBO,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,,,,,,,,,
Guillaume BONNAFOND,Guillaume,BONNAFOND,FRA,FRA0006,"Vuelta a España, 2017",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,,AG2R LA MONDIALE,"COFIDIS, SOLUTIONS CREDITS",,
Steve MORABITO,Steve,MORABITO,SUI,SUI0002,"Vuelta a España, 2019",ASTANA,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,FDJ,FDJ,FDJ,GROUPAMA - FDJ,GROUPAMA - FDJ
Thomas VOECKLER,Thomas,VOECKLER,FRA,FRA0007,"Tour de France, 2017",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,DIRECT ENERGIE,,
Ignatas KONOVALOVAS,Ignatas,KONOVALOVAS,LTU,LTU0001,"Giro d'Italia, 2016",CERVELO TEST TEAM,CERVELO TEST TEAM,MOVISTAR TEAM,,,,,FDJ,,,
Francesco FAILLI,Francesco,FAILLI,ITA,ITA0024,"Giro d'Italia, 2012",ACQUA & SAPONE - CAFFE MOKAMBO,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,FARNESE VINI - NERI SOTTOLI,FARNESE VINI - SELLE ITALIA,,,,,,,
Alessandro BERTOLINI,Alessandro,BERTOLINI,ITA,ITA0025,"Giro d'Italia, 2010",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,,,,,,,,,
Manuele MORI,Manuele,MORI,ITA,ITA0026,"Vuelta a España, 2011",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,,UAE TEAM EMIRATES,
Daniele PIETROPOLLI,Daniele,PIETROPOLLI,ITA,ITA0027,"Vuelta a España, 2010",,LAMPRE-FARNESE VINI,,LAMPRE - ISD,LAMPRE-MERIDA,,,,,,
Dries DEVENYNS,Dries,DEVENYNS,BEL,BEL0006,"Vuelta a España, 2018",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,,TEAM GIANT-SHIMANO,,IAM CYCLING,QUICK - STEP FLOORS,QUICK - STEP FLOORS,DECEUNINCK  -  QUICK - STEP
Gorazd ŠTANGELJ,Gorazd,ŠTANGELJ,SLO,SLO0003,"Giro d'Italia, 2011",LIQUIGAS,ASTANA,PRO TEAM ASTANA,,,,,,,,
Philippe GILBERT,Philippe,GILBERT,BEL,BEL0007,"Vuelta a España, 2019",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,OMEGA PHARMA-LOTTO,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,,DECEUNINCK  -  QUICK - STEP
Kevin HULSMANS,Kevin,HULSMANS,BEL,BEL0008,"Giro d'Italia, 2009",QUICK STEP,,,,,,,,,,
Ruggero MARZOLI,Ruggero,MARZOLI,ITA,ITA0028,"Giro d'Italia, 2011",ACQUA & SAPONE - CAFFE MOKAMBO,,ACQUA & SAPONE,,,,,,,,
Maarten TJALLINGII,Maarten,TJALLINGII,NED,NED0002,"Tour de France, 2012",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BLANCO PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,,
Giampaolo CHEULA,Giampaolo,CHEULA,ITA,ITA0029,"Giro d'Italia, 2011",BARLOWORLD,FOOTON-SERVETTO,GEOX-TMC,,,,,,,,
Bartosz HUZARSKI,Bartosz,HUZARSKI,POL,POL0002,"Vuelta a España, 2013",ISD - NERI,,,TEAM NETAPP,TEAM NETAPP - ENDURA,TEAM NETAPP - ENDURA,BORA-ARGON 18,BORA-ARGON 18,,,
Hector GONZALEZ BAEZA,Hector,GONZALEZ BAEZA,ESP,ESP0009,"Giro d'Italia, 2009",FUJI-SERVETTO,,,,,,,,,,
Anthony CHARTEAU,Anthony,CHARTEAU,FRA,FRA0008,"Tour de France, 2011",CAISSE D'EPARGNE,BBOX BOUYGUES TELECOM,TEAM EUROPCAR,,,,,,,,
Charles WEGELIUS,Charles,WEGELIUS,GBR,GBR0003,"Giro d'Italia, 2010",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,,,,,,,,,
Manuel QUINZIATO,Manuel,QUINZIATO,ITA,ITA0030,"Tour de France, 2015",LIQUIGAS,LIQUIGAS-DOIMO,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,
Alessandro Mauro VANOTTI,Alessandro Mauro,VANOTTI,ITA,ITA0031,"Vuelta a España, 2016",LIQUIGAS,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,,
Mauro FACCI,Mauro,FACCI,ITA,ITA0032,"Giro d'Italia, 2010",QUICK STEP,QUICK STEP,,,,,,,,,
